Gen# 	 MinFit 	 AvgFit 	 MaxFit 
340 	 6.95886E-02 	 3.03797E-01 	 6.49508E-01 
341 	 6.95886E-02 	 3.36691E-01 	 7.48797E-01 
342 	 6.95886E-02 	 3.27417E-01 	 7.40136E-01 
343 	 6.95886E-02 	 3.14594E-01 	 7.28180E-01 
344 	 6.95886E-02 	 3.10669E-01 	 7.56605E-01 
345 	 6.95886E-02 	 3.06525E-01 	 9.37100E-01 
346 	 6.95886E-02 	 3.02584E-01 	 7.97250E-01 
347 	 6.95886E-02 	 3.09813E-01 	 6.87988E-01 
348 	 6.95886E-02 	 3.01568E-01 	 6.27027E-01 
349 	 6.95886E-02 	 2.96055E-01 	 7.67430E-01 
350 	 6.95886E-02 	 3.18467E-01 	 9.38831E-01 
351 	 6.95886E-02 	 3.18911E-01 	 7.08880E-01 
352 	 6.95886E-02 	 3.08205E-01 	 8.56670E-01 
353 	 6.95886E-02 	 2.97853E-01 	 7.32264E-01 
354 	 6.95886E-02 	 3.08135E-01 	 6.39004E-01 
355 	 6.95886E-02 	 3.11136E-01 	 7.45345E-01 
356 	 6.95886E-02 	 2.97902E-01 	 5.68611E-01 
357 	 6.95886E-02 	 3.05691E-01 	 7.58171E-01 
358 	 6.95886E-02 	 3.17519E-01 	 8.30449E-01 
359 	 6.95886E-02 	 2.93517E-01 	 6.60109E-01 
360 	 6.95886E-02 	 2.93279E-01 	 7.61300E-01 
361 	 6.95886E-02 	 2.81731E-01 	 7.87370E-01 
362 	 6.95886E-02 	 2.91744E-01 	 7.45535E-01 
363 	 6.95886E-02 	 2.96734E-01 	 6.93053E-01 
364 	 6.95886E-02 	 3.04417E-01 	 8.08474E-01 
365 	 6.95886E-02 	 2.97004E-01 	 6.16575E-01 
366 	 6.95886E-02 	 3.17310E-01 	 7.50449E-01 
367 	 6.95886E-02 	 2.97134E-01 	 6.92961E-01 
368 	 6.95886E-02 	 3.04888E-01 	 7.57061E-01 
369 	 6.95886E-02 	 3.11940E-01 	 6.26580E-01 
370 	 6.95886E-02 	 2.94117E-01 	 7.87696E-01 
371 	 6.95886E-02 	 2.91831E-01 	 7.06241E-01 
372 	 6.95886E-02 	 3.04702E-01 	 7.05408E-01 
373 	 6.95886E-02 	 3.09721E-01 	 7.17993E-01 
374 	 6.95886E-02 	 3.05797E-01 	 8.03788E-01 
375 	 6.95886E-02 	 3.08479E-01 	 7.36186E-01 
376 	 6.95886E-02 	 3.17751E-01 	 9.20327E-01 
377 	 6.95886E-02 	 3.06130E-01 	 7.11450E-01 
378 	 6.95886E-02 	 2.98697E-01 	 7.66261E-01 
379 	 6.95886E-02 	 3.01758E-01 	 7.68952E-01 
380 	 6.95886E-02 	 2.86040E-01 	 7.31821E-01 
381 	 6.95886E-02 	 2.91163E-01 	 7.14516E-01 
382 	 6.95886E-02 	 3.06446E-01 	 8.87112E-01 
383 	 6.95886E-02 	 2.98975E-01 	 7.95036E-01 
384 	 6.95886E-02 	 3.01103E-01 	 5.91162E-01 
385 	 6.95886E-02 	 3.06537E-01 	 7.28201E-01 
386 	 6.95886E-02 	 2.88332E-01 	 7.55928E-01 
387 	 6.95886E-02 	 2.93238E-01 	 6.29148E-01 
388 	 6.95886E-02 	 2.96986E-01 	 8.10366E-01 
389 	 6.95886E-02 	 2.93126E-01 	 7.64444E-01 
390 	 6.95886E-02 	 2.85746E-01 	 6.37122E-01 
391 	 6.95886E-02 	 3.04005E-01 	 6.82999E-01 
392 	 6.95886E-02 	 3.14869E-01 	 7.53632E-01 
393 	 6.95886E-02 	 3.04195E-01 	 7.53829E-01 
394 	 6.95886E-02 	 3.00049E-01 	 5.94940E-01 
395 	 6.95886E-02 	 3.05525E-01 	 6.94293E-01 
396 	 6.95886E-02 	 2.90259E-01 	 5.53123E-01 
397 	 6.95886E-02 	 3.00029E-01 	 8.18553E-01 
398 	 6.95886E-02 	 3.08075E-01 	 6.62512E-01 
399 	 6.95886E-02 	 2.92980E-01 	 7.38121E-01 
400 	 6.95886E-02 	 3.04663E-01 	 7.32000E-01 
401 	 6.95886E-02 	 3.03831E-01 	 9.04570E-01 
402 	 6.95886E-02 	 2.98843E-01 	 7.95618E-01 
403 	 6.95886E-02 	 2.88910E-01 	 8.13186E-01 
404 	 6.95886E-02 	 2.80063E-01 	 6.86578E-01 
405 	 6.95886E-02 	 3.07524E-01 	 7.65812E-01 
406 	 6.95886E-02 	 2.86524E-01 	 5.70593E-01 
407 	 6.95886E-02 	 2.98188E-01 	 7.16998E-01 
408 	 6.95886E-02 	 3.07442E-01 	 7.78537E-01 
409 	 6.95886E-02 	 3.00201E-01 	 6.09191E-01 
410 	 6.95886E-02 	 3.07168E-01 	 6.04772E-01 
411 	 6.95886E-02 	 3.02675E-01 	 7.54519E-01 
412 	 6.95886E-02 	 2.97967E-01 	 6.64161E-01 
413 	 6.95886E-02 	 2.99673E-01 	 7.46958E-01 
414 	 6.95886E-02 	 3.11825E-01 	 6.55944E-01 
415 	 6.95886E-02 	 3.19056E-01 	 8.44625E-01 
416 	 6.95886E-02 	 3.10254E-01 	 6.61164E-01 
